title,website,tags,mission,membership_benefits
French Club,https://one.illinois.edu/FrenchClub/,"Orange Student Organization
 
 - Identity & Culture, International","The French Club serves as the Languages, Literatures, and Cultures Department at University of Illinois UC to be dedicated to learning about the French culture and French Language and strive to involve students and the community in cultural activities, as well as guest speaker events in order to promote the professional field and foster the French culture.",
Fulbright Student Association,https://one.illinois.edu/FulbrightStudentAssociation/,"Blue Student Organization
 
 - Identity & Culture, International, Social & Leisure",The mission of FSA is to provide a peer support network for current and upcoming Fulbright Scholars at the University of Illinois at Urbana-Champaign and to facilitate the Fulbright Program global mission of increasing mutual understanding between the people of the United States and the people of other countries.,
Future Health Care Executives,https://one.illinois.edu/FutureHealthCareExecutives/,"Orange Student Organization
 
 - Business, Health & Human Sciences","To be the professional membership society for future health care executives; to meet its
members' professional, educational, and leadership needs; to promote high ethical standards and
conduct; and to advance health care leadership and management.",
Future Leaders of STEM,https://one.illinois.edu/FutureLeadersofSTEM/,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Technology, Engineering & Mathematics","Future Leaders of STEM is a student-led, avocational organization dedicated to promoting inclusivity and equity in STEM education. This group shall focus on providing students with special abilities and younger-aged students from underrepresented communities opportunities to explore STEM fields through hands-on experiments and interactive learning experiences. By fostering curiosity and practical engagement, we aim to empower these students
to pursue their goals and contribute to a more diverse and inclusive future in STEM.","Join our RSO to...
Meet like-minded STEM individuals
Gain Hands-On STEM experience
Develop your leadership skills
Leave a positive impact on your peers and community"
Future of Healthcare in America,https://one.illinois.edu/FutureofHealthcareinAmerica/,"Orange Student Organization
 
 - Health & Wellness, Social & Leisure, Health & Human Sciences","Mission: The Future of Healthcare in America Club is committed to shaping well-rounded future healthcare professionals by fostering growth in every aspect—physical, mental, and professional. Through hands-on dexterity training, stress-relief activities, and networking opportunities with healthcare professionals, we equip students with the essential skills, resilience, and connections needed to excel in the dynamic world of healthcare. Additionally, we provide valuable tips and guidance on career development, technical skills, and well-being, ensuring our members are fully prepared to shape the future of medicine with confidence and expertise.",
Future United Executives and Leaders,https://one.illinois.edu/futureunitedexecutivesandleaders/,"Orange Student Organization
 
 - Business","Future United Executive and Leaders (FUEL) exists to empower students at the University of Illinois to grow into Leadership regardless of their tailored major. FUEL offers leadership training, professional development, mentorship, and access to a strong peer and professional network in business and finance. Through workshops, speaker events, service, and community, FUEL helps members build confidence, practical skills, and connections necessary for success in campus life and beyond.",
Gaelic Athletic Association of UIUC,https://one.illinois.edu/GaelicAthleticAssociation/,"Orange Student Organization
 
 - Athletic & Recreation, Identity & Culture, Social & Leisure",The Gaelic Athletic Association of UIUC (GAA UIUC) serves as the association to bring athletic games from Ireland to the United States to promote Irish athletic culture.,
Gaga Ball Club,https://one.illinois.edu/GagaBallClub/,"Orange Student Organization
 
 - Athletic & Recreation, Social & Leisure","GBC serves to be a safe place for students that want to learn a new game and build connections while having fun. Having gaga ball on campus will provide students with an opportunity, no matter what their physical ability is, to play a sport that is not high in intensity. Players can make this game as competitive as they want. This RSO exists to bring gaga ball to our campus for the first time.",
Gah Rahk Mah Dahng,https://one.illinois.edu/GahRahkMahDahng/,"Orange Student Organization
 
 - Advocacy & Activism, Identity & Culture, Performance Arts","To promote awareness of Korean traditional music in the state of Illinois.
To further study the art of SamulNori and develop skills to perform.",
Game Night,https://one.illinois.edu/GameNight/,"Orange Student Organization
 
 - Social & Leisure","Game Night will serve as a recreational club for students to relax and play different board games, card games, and video games every Friday night.",Members will be able to participate in club meetings and events.
Game Theory Optimal Illini,https://gtoillini.com/,"Orange Student Organization
 
 - Social & Leisure, Technology, Engineering & Mathematics",GTOI strives to create a platform for high-level poker competition at UIUC within the confines of University policy and the Law.,
Gamma Phi Beta Sorority,https://one.illinois.edu/GammaPhiBeta/,"Blue Student Organization
 
 - Community Service & Philanthropy, Social & Leisure, Social Fraternities & Sororities",Building strong girls and creating a space for women to be involved in philanthropy as well as socialize with their peers,
"Gamma Phi Omega International Sorority, Inc.",https://one.illinois.edu/GammaPhiOmegaInternational/,"Orange Student Organization
 
 - Identity & Culture, Social & Leisure, Social Fraternities & Sororities","Gamma Phi Omega International Sorority Inc. is a group of professional, diverse women founded in 1991. Our Chapter here at UIUC was founded in 2004. We seek to make a difference in our community while striving for our own professional goals and achieving academic excellence. Our sisterhood creates a home away from home here on campus.",
Gargoyles Honors Society,https://one.illinois.edu/GargoylesHonorsSociety/,"Orange Student Organization
 
 - Honorary","The Gargoyle Honors Society is an academically elite group of students and faculty from within the School of Architecture who have demonstrated an uncommon degree of scholarship and excellence in their everyday activities and course work. As an organization we strive to promote an attitude of responsibility, professionalism, and service throughout our members and the School of Architecture.",
Gender & Sexuality Resource Center (GSRC),https://gsrc.illinois.edu/,Student Affairs Departments & Programs,,
Gender and Women's Studies RSO,https://one.illinois.edu/GenderandWomensStudiesRSO/,"Orange Student Organization
 
 - Identity & Culture, Social & Leisure",The mission of The GWS Club is to connect students with an interest in topics related to Gender and Women’s Studies to campus- and community-wide opportunities.,
GeoClub,https://one.illinois.edu/GeoClub/,"Orange Student Organization
 
 - Environmental & Sustainability, Life & Physical Sciences, Social & Leisure","The purpose(s) of this organization is to promote an environment of professional development, academic achievement, and social networking within the Department of Earth Sciences and Environmental Change at the University of Illinois at Urbana-Champaign. Our club encourages social and academic growth through weekly meetings, philanthropic activities, and annual weekend trips to geological sites within the state of Illinois and more. We welcome all majors!",
Geography Graduate Student Association,https://one.illinois.edu/GeographyGraduateStudentAssociation/,"Orange Student Organization
 
 - Environmental & Sustainability, Information & Data Sciences, Life & Physical Sciences, Social & Behavioral Sciences","Mission and purpose of Geography Graduate Student Association (GGSA)
What does the GGSA do?
The GGSA (stands for Geography Graduate Student Association) has three roles:
- Foster community amongst graduate students
- Encourage and provide professional development opportunities for graduate students
- Formally interface with the department on behalf of graduate students
Why does the GGSA exist?
- The GGSA was formed at some unknown point in history to fulfill the three purposes. Its legacy is thanks to many boards who have found different ways to serve the GGIS graduate student body.
- If at any point the board’s role becomes irrelevant, abused, or useless, a majority of GGSA membership shall vote to disband GGSA, and de-register it.
Clarifications on the role of GGSA within the department:
- GGSA’s role does NOT include doing work for or on behalf of the GGIS department.
- This includes work such as:
-- Organizing alumni functions that are not student-originated
-- Organizing and coordinating reservations for events that are not student-originated
-- Staffing department events with no remuneration or wider call for volunteers by the department
-- Making wider calls to students on behalf of the department for unpaid labor","- Representation at faculty meetings and notification of departmental happenings by the Faculty representative and GGSA board.
- Invitations to participate in social and professional development events."
Geotechnical Engineering Student Organization,https://one.illinois.edu/GeotechnicalEngineeringStudentOrganization/,"Orange Student Organization
 
 - Technology, Engineering & Mathematics","The mission of the UIUC chapter of the Geo-Institute graduate student organization is to: (1) provide
geotechnical graduate students with a forum to pursue and discuss their research interests in an
educational and constructive environment; (2) allow them to develop the leadership and
interpersonal skills they will need as future geotechnical engineers; and (3) expose and promote the
field of geotechnical engineering to CEE students at Illinois.",
Ghost Electric Motorcycles,https://ghostelectric.web.illinois.edu/,"Blue Student Organization
 
 - Technology, Engineering & Mathematics","Ghost Electric Motorcycles has a clear mission: fostering sustainable engineering processes through the design and construction of electric motorcycles.
Ghost aims to participate in the annual American Historical Racing Motorcycle Association (AHRMA) Formula Lightning competition. As a newly established team, Ghost is committed to fostering a vibrant community of aspiring cross-disciplinary engineers, drawing upon the knowledge cultivated within UIUC's prestigious engineering program.","Connect with students and professionals around the world.
Learn technical and intrapersonal skills that will apply directly to your career.
Experience with real world cutting-edge electric vehicle technology."
Ghungroo Dance Company,https://one.illinois.edu/GhungrooDanceCompany/,"Orange Student Organization
 
 - Identity & Culture, Performance Arts","The purpose of GDC is to maintain Indian Cultural traditions of dance and music as well as to create more cultural awareness for its
fellow students and community. GDC’s foremost efforts are directed toward its annual show in the spring and several outside
performances",
Gies Capital Association,https://www.uiucgca.com,"Orange Student Organization
 
 - Business, Education, Pedagogy & Instruction, Information & Data Sciences, Technology, Engineering & Mathematics","GCA fosters a dynamic environment where students can seamlessly blend the
disciplines of finance and accounting, while also preparing them for successful careers in these fields.
Our goals are:
1) Integration of Finance and Accounting
To provide a platform that bridges finance and accounting, enabling students to gain comprehensive knowledge and skills that are essential in both fields.
2) Career Preparation and Advancement
To equip students with the necessary tools, resources, and experiences that will prepare them for successful careers in finance, accounting, and related industries.
3) Real-World Business Analysis
To engage students in the practical analysis of real businesses, including publicly traded companies, thereby enhancing their understanding of financial markets, corporate strategies, and business operations.
4) Networking and Professional Connections
To build and nurture a strong network within the organization and extend connections to industry professionals, alumni, and corporate partners, facilitating career opportunities and professional growth.
5) Professional Development and Industry Insights
To organize events, workshops, and lectures featuring industry professionals and esteemed professors, offering insights into current trends, challenges, and opportunities in finance and accounting.
6) Academic and Career Development Support
To provide academic tutorials and career development programs, including assistance with coursework, exam preparation, and job search strategies, to help students excel both academically and professionally.",
Gift of Life UIUC,https://one.illinois.edu/GiftofLife/,"Orange Student Organization
 
 - Health & Wellness","Gift of Life UIUC raises awareness for the bone marrow donation process. In collaboration with
the Gift of Life Marrow Registry, one of the nation's public bone marrow and blood stem cell
registries, Gift of Life UIUC organizes events, campaigns, trainings, and seminars to register
new potential donors, raise monetary funds, and educate the community about the bone marrow
donation process. Gift of Life UIUC is dedicated to expanding the bone marrow registry and
supporting those who have been affected by the cancer experience",
Girl Gains at UIUC,https://one.illinois.edu/GirlGains/,"Orange Student Organization
 
 - Athletic & Recreation, Health & Wellness, Social & Leisure","The purpose of this organization is to promote female weightlifting while
empowering women to feel strong and beautiful in a judgment-free community.",
Girl Krush,https://one.illinois.edu/girlkrush/,"Orange Student Organization
 
 - Athletic & Recreation, Social & Leisure","Girl Krush is committed to empowering women athletes at the University of Illinois Urbana-Champaign and beyond by creating an inclusive space that celebrates, supports, and amplifies their experiences. Through professional development workshops, social and educational events, and intentional community-building, we aim to foster growth, leadership, and long-term impact. Our mission is to challenge gender disparities in sports while uplifting the voices of women in collegiate athletics.",
Girl Up UIUC,https://one.illinois.edu/GirlUp/,"Blue Student Organization
 
 - Advocacy & Activism","The purpose of Girl Up UIUC is to promote gender equality both
campus-wide and worldwide. Girl Up UIUC is devoted to fundraising for girls in
underdeveloped nations, empowering members, and spreading awareness about gender
inequality in our world.",
Girls Next Door A Cappella,https://one.illinois.edu/GirlsNextDoor/,"Orange Student Organization
 
 - Performance Arts, Social & Leisure",Girls Next Door A Cappella serves as the premier all-female a cappella group at the University of Illinois.,
Girls Who Code UIUC College Loop,https://one.illinois.edu/girlswhocode/,"Orange Student Organization
 
 - Technology, Engineering & Mathematics","The GWC UIUC College Loop serves to create a supportive and inclusive environment where women in STEM can connect, collaborate, and grow. Our objectives include sustaining and improving retention in computer science and related disciplines, building a strong community and sisterhood among peers, and practicing computing concepts to develop technical skills. We aim to foster meaningful relationships through events that empower members to explore new skills, build confidence in technology, and connect with Girls Who Code alumni on campus. Additionally, we strive to bridge connections with diverse campus organizations to promote inclusivity and a sense of community in the tech space.",
Global Empowerment for Women’s Medical Support,https://one.illinois.edu/GlobalEmpowermentforWomensMedicalSupport/,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Health & Wellness, International","Global Empowerment for Women’s Medical Support UIUC serves as a network
of outreach to underfunded clinics in developing countries to help them cover the expenses of
their daily operations, from laboratory equipment to maintenance costs. By running fundraising
events on campus, GEMS aims to expand access to medical care in low- and middle-income
countries, particularly emphasizing female and maternal healthcare.",
Global Engineering Brigade (GEB),https://one.illinois.edu/globalengineeringbrigade/,"Orange Student Organization
 
 - Community Service & Philanthropy, Environmental & Sustainability, Technology, Engineering & Mathematics","The University of Illinois at Urbana Champaign Chapter of Global Brigades is a student led group that supports Global Brigades in the implementation of a holistic model to meet the health and economic goals of rural communities in Honduras. Along with other GB Chapters on campus as well as Chapters at other universities, our Chapter participates in year round recruitment, fundraising, and awareness events that ultimately result in our participation in a 7-9 day brigade, where we actively participate in programming (e.g., Medical, Dental, Public Health, Water, Engineering, Legal Empowerment, Business).",
Global Medical Missions Alliance,https://one.illinois.edu/globalmedicalmissionsalliance/,"Orange Student Organization
 
 - Community Service & Philanthropy, Faith, Religion & Spirituality, Health & Wellness, Health & Human Sciences","To awaken and mobilize Christ-passionate healthcare workers to join in God's Kingdom work, and to network with others who are already in the mission fields.",
Global Medical Training,https://one.illinois.edu/GlobalMedicalTraining/,"Orange Student Organization
 
 - Community Service & Philanthropy, Health & Wellness","To facilitate and encourage learning, community service, cultural competence,
and knowledge of patient care amongst the University of Illinois student body and
pre-health students through engaging in international medical relief trips and other
volunteering, and social events",
Global Review at Illinois,https://one.illinois.edu/GlobalReview/,"Orange Student Organization
 
 - Education, Pedagogy & Instruction, Environmental & Sustainability, Identity & Culture, Ideology & Politics, International, Media Arts, Humanities","Global Review serves as the school’s first ever foreign affairs journal. It will be a monthly publication where globally minded students will opine on global topics. The publication will feature stories from Africa, the Americas, Asia, Europe, and Australia.",
Global Studies Professional Society,https://one.illinois.edu/GlobalStudiesProfessionalSociety/,"Blue Student Organization
 
 - Community Service & Philanthropy, International, Social & Leisure","Our mission is to foster a tight-knit community among Global Studies majors by
facilitating opportunities for students to connect with one another and alumni, while also
promoting professionalism and personal growth.",
Global Surgery Student Alliance at UIUC,https://one.illinois.edu/GlobalSurgeryStudentAlliance/,"Orange Student Organization
 
 - Education, Pedagogy & Instruction, Health & Wellness, Life & Physical Sciences","The Global Surgery Student Alliance at UIUC aims to educate, engage, and empower students interested in global health equity, with a focus on surgical care in underserved populations worldwide. The organization fosters awareness through educational events, collaborative research, and advocacy initiatives in partnership with local and international health communities.",
Glory Nation Prayer City,https://one.illinois.edu/GloryNationPrayerCity/,"Orange Student Organization
 
 - Faith, Religion & Spirituality","Glory Nation Prayer City is a student fellowship committed to studying the Word of God and fostering a welcoming environment for students from all backgrounds. Through our weekly meetings, we focus on intercessory prayer for the UIUC campus, including its students, faculty, and staff. Most importantly, our organization prioritizes deepening our relationship with God through practices like speaking in tongues, bible study, and so much more.
“Most of all, I’m writing to encourage you to pray with gratitude to God. Pray for all men with all forms of prayers and requests as you intercede with intense passion” (1 Timothy 2:1)",
Go Club @ UIUC,https://one.illinois.edu/GoClub/,"Orange Student Organization
 
 - Identity & Culture","The purposes of this organization are to promote Go culture and connect all Go
enthusiasts in the university. UIUC Go club will be a home for every Go fan where
people who are interested in Go could gather together and play together. This
organization will also serve as an information platform about Go. We share
upcoming Go events and competition in the club channel.",
Golden Apple - Illini,https://one.illinois.edu/GoldenApple/,"Orange Student Organization
 
 - Education, Pedagogy & Instruction","The mission of Golden Apple Illini shall be to encourage unity, both now and in the future, among
Golden Apple Scholars of Illinois attending the University of Illinois at
Urbana-Champaign (UIUC) through an open forum for communication between Golden Apple,
UIUC, and the Golden Apple Foundation on all matters concerning GA life; provide
support and guidance for GA at UIUC on social, financial, and academic matters;
represent and promote the Golden Apple Foundation and the Golden Apple program in a positive,
proactive manner throughout the local and state communities; and contribute to the
advancement and betterment of all future educators who will influence the lives of the
children of tomorrow.",
Good Athlete Project - UIUC,https://one.illinois.edu/GoodAthleteProjec/,"Orange Student Organization
 
 - Community Service & Philanthropy","The platform of athletics is undeniably powerful, and we are on a mission to be sure it is used to its full potential. Through the lens of cognitive neuroscience and social theory, we capitalize on desires to be a great player in order to ensure one becomes a great person.
We use research-based methods to teach for those things in life that truly matter: character,
leadership, grit, growth mindset, conscientiousness, and yes, kindness. Contact us to find out how
we can support your team!",
Gospel Fellowship,https://one.illinois.edu/GospelFellowship/,"Blue Student Organization
 
 - Faith, Religion & Spirituality","The purpose of Gospel Fellowship is to help people knowing God, loving God and building a personal relationship with Jesus Christ. We offer Chinese Bible Study, Discipleship class, and various trainings to equip God’s servants. We also occasionally provide special gathering events to welcome our new students and visitors.",
Graduate Biomedical Engineering Society,https://one.illinois.edu/GraduateBiomedicalEngineeringSociety/,"Blue Student Organization
 
 - Technology, Engineering & Mathematics","GradBMES will exist to interface between BIOE graduate students and the department, between all graduate students interested in the field of BMES, and between the graduate and undergraduate chapters of the BMES organization. It will promote professional development of its members as well as social interaction and administrative support.",
Graduate Employees' Organization,https://one.illinois.edu/GraduateEmployeesOrganization/,"Orange Student Organization
 
 - Advocacy & Activism","We, the members of the Graduate Employees’ Organization (GEO), are committed to the
principles of participatory democracy. Thus, as graduate employees at the University of Illinois
at Urbana-Champaign (“the University”), we claim the right to participate in making decisions
that affect our lives. This can only mean our bona fide representation in University governance.
Formal recognition of the work of graduate employees generates due respect for our work and,
moreover, ensures better working conditions for all of us. This can only enable the University in
successfully fulfilling its mission, namely, to provide quality higher education. We envisage a
working and learning environment at this University that is democratic, inclusive,
non-discriminatory, and above all, just. We shall do everything in our power to materialize this
vision.",
"Graduate Organization of, for and by Latine Students",https://one.illinois.edu/GraduateOrganizationofforandbyLatineStudents/,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Identity & Culture, International","The Graduate Organization for/by/of Latine Students (GOLS) at Illinois represents, empowers, & unites graduate students who identify as Latine, Afro-Latine, or Indigenous to the Americas.
GOLS seeks to serve as a space for Latine graduate students to connect through culture, social, professional, and community service-based activities. The organization supports the development of Latine students at Illinois University and encourages civic engagement with issues that impact Latine folks locally, nationally, and internationally.",
Graduate Students in Ecology and Evolutionary Biology,https://one.illinois.edu/GraduateStudentsinEcologyandEvolutionaryBiology/,"Orange Student Organization
 
 - Life & Physical Sciences","Graduate Students in Ecology & Evolutionary Biology (GEEB) serves to coordinate and unite graduate students
from various departments through their interests in ecology and evolutionary biology. Members of GEEB
include students from a wide diversity of campus units; we encourage and welcome graduate students from any
campus department to participate in GEEB social and academic activities.",
Graduate Students of French and Italian,https://one.illinois.edu/GraduateStudentsofFrenchandItalian/,"Orange Student Organization
 
 - Identity & Culture, International, Social & Leisure, Humanities","The Graduate Students of French & Italian serves as the organization to represent the interests of all graduate students affiliated with the Department of French and Italian. GSFRIT also organizes social activities throughout the year to promote aspects of Francophone and Italophone culture for both members of GSFRIT as well as the greater UIUC community on campus. Through this organization, students are encouraged to voice their opinions, participate in a supportive academic community, and be assured that GSFRIT collective decisions are given consideration in the various departmental committees formulating policies regarding students.","1) Voting Rights
2) Ability to receive travel grants for conferences from RSO
3) Free admission to RSO events"
Graduate Women in the Society of Women Engineers,https://one.illinois.edu/GraduateWomenintheSocietyofWomenEngineers/,"Orange Student Organization
 
 - Community Service & Philanthropy, Health & Wellness, Identity & Culture, Technology, Engineering & Mathematics",The mission of GradSWE is to promote diversity in graduate education in engineering and science to enable innovative and creative solutions to the future technical challenges of society.,"GradSWE is a support community and advocate for graduate women in engineering and for undergraduate women interested in pursing graduate studies in engineering. We encourage women to pursue graduate school, support them throughout their graduate education, and help prepare them for their future careers after they complete their degree. GradSWE provides events that cater to the needs of graduate students and undergraduate students interested in pursuing graduate school, some of which are listed below:
Graduate professional and academic development workshops:
The backbone of GradSWE is to support the professional and academic development of graduate students at the University of Illinois. Our workshop topics address the issues facing graduate including:
- Effective presentations and public speaking
- Funding options for graduate education
- Resume writing
- Career paths for graduate degrees
- Individualized career planning
- Health and wellness
Graduate social events:
All members of GradSWE know that networking and social interaction is an important and fun part of grad school! GradSWE members are encouraged to bring their friends and family to our social events, like weekend BBQs, potlucks and the Barn Dance with SWE!
Undergraduate academic development workshops:
GradSWE stays connected to the undergraduate SWE section by organizing academic development events and a mentoring program for undergraduate students. We encourage undergraduate women to consider graduate school through events like the Why Grad School Panel, Undergrad Decision Making Panel, and the Advanced Degrees Workshop."
Greek InterVarsity Christian Fellowship,https://one.illinois.edu/GreekInterVarsityChristianFellowship/,"Orange Student Organization
 
 - Faith, Religion & Spirituality, Social & Leisure","Greek InterVarsity serves to reach students in Greek life at The University of Illinois and be a spiritual resource to them with the message of Christ. Greek InterVarsity offers spiritual mentorship to students in Greek life and establishes witnessing communities of students in Greek life who follow Jesus as Savior and Lord: growing in love for God, God’s Word, God’s purposes in the world, and God’s people of every ethnicity and culture.",
Greeks Redefined,https://one.illinois.edu/GreeksRedefined/,"Orange Student Organization
 
 - Health & Wellness",The purpose(s) of this organization shall be to promote mental health awareness amongst chapters within Fraternity Sorority Affairs at the University of Illinois.,
Green Streets,https://one.illinois.edu/GreenStreets/,"Orange Student Organization
 
 - Community Service & Philanthropy, Environmental & Sustainability, Social & Leisure",Green Streets has the intention of cleaning up the campus environment from trash and spreading a sense of respect for our surroundings. We will hold weekly trash cleanups except in the case of overwhelming weather conditions and serve as a social club for people passionate about keeping the community litter-free.,
Grube Heck Foundation,https://one.illinois.edu/GrubeHeckFoundation/,"Orange Student Organization
 
 - Advocacy & Activism","GH Foundation on campus strives to destigmatize gastro-health conversations among a younger group of individuals-college students. As a club, we will be working closely with the GH Foundation and striving to advocate and educate students about the importance of having these uncomfortable conversations. Being aware and having knowledge about your digestive system can help prevent future serious health consequences. We want to empower individuals to become their own health advocates and break the stigma around this topic. By breaking the silence and normalizing conversations about poop, colonoscopies, and everything in between, we can help individuals become proactive about their health and detect potential problems early on. We plan to attract members who are passionate about our cause and help spread awareness. We think that starting early, with a younger population will bear fruit in the future as knowledge is families and your communities can become their own best health advocates.",
Grupo Illini,https://one.illinois.edu/GrupoIllini/,"Orange Student Organization
 
 - Performance Arts","Mission- the Grupo Illini serves to provide a space for musicians who love Latin music to play and perform together, while sharing a beautiful aspect of the Latinx community with others in or outside the community.",
Guild of Unpaid Illinois Lawyer Thespians,https://one.illinois.edu/GuildofUnpaidIllinoisLawyerThespians/,"Orange Student Organization
 
 - Law, Performance Arts","The objectives of this organization are: To create original productions of theatrical work by and from the students of the college of law; To serve the professional development of the fundamental skills of improvisational ability, public speaking, and other interpersonal skills; To generate comradery, collaboration, and teamwork between students of the College of Law; and To enable all students of this college of law artistic expression and creative outlet alongside their peers",
Habitat for Humanity Campus Chapter,https://one.illinois.edu/HabitatforHumanityCampusChapter/,"Orange Student Organization
 
 - Community Service & Philanthropy","The University of Illinois at Urbana-Champaign (UIUC) Habitat for Humanity Campus Chapter was established in 1992 by a group of motivated students who recognized the need to end substandard housing in Urbana-Champaign. Working closely with our Champaign County affiliate, our goal is to raise awareness about housing insecurity among students and fundraise for an annual sponsorship towards an affordable home in the surrounding community. Over the past 24 years, our chapter has proudly sponsored and actively built 20 Habitat homes, contributed volunteer labor to dozens more, and engaged thousands of student volunteers in support of our mission.
Our student chapter is open to all members, regardless of major and career interests, and requires no general member dues! We hope to inspire students about the importance of giving back to our community through decreasing housing insecurity. We hold general meetings biweekly on Tuesdays from 7-8 pm and host several fun fundraising and educational events!
Check out our website for more information! https://uiuchabitat.wixsite.com/uiuchabitat",
Hack4Impact UIUC,https://one.illinois.edu/Hack4Impact/,"Orange Student Organization
 
 - Technology, Engineering & Mathematics","Hack4Impact UIUC believes in technology's potential to empower activists and
humanitarians to create lasting and impactful social change. Our mission is to foster the
wider adoption of technology as a tool for social impact.",
Hands of Health,https://one.illinois.edu/handsofhealth/,"Orange Student Organization
 
 - Health & Wellness, Health & Human Sciences","handsofhealth serves to enhance hand dexterity and fine motor skills through engaging, hands-on activities that prepare members for careers in medicine, dentistry, and other health professions. We aim to foster a supportive community of pre-health students while making a positive impact through volunteering and philanthropic initiatives",
Harmony Ballet,https://one.illinois.edu/HarmonyBallet/,"Orange Student Organization
 
 - Athletic & Recreation, Performance Arts","The purpose(s) of Harmony Ballet is to develop and maintain the traditional art of ballet at a
college level in a supportive and welcoming environment. Harmony Ballet will offer a safe,
caring, and nonjudgmental setting in which students of all levels help each other reach their
ballet goals via technique training, classical variations, social gatherings, fundraising events,
and performance opportunities.",
Healing Everything And Reaching The Soul,https://one.illinois.edu/HealingEverythingAndReachingTheSoul/,"Orange Student Organization
 
 - Community Service & Philanthropy","HEARTS aims to raise medical professionals that are passionate about the lives and
emotions of patients. Regardless of the path that an individual chooses to take, a medical
professional holds the responsibility of the physical and emotional well-being of patients
and their families. Instead of just treating patients as a source of income or customers,
HEARTS desires to teach future generations of medical professionals the importance of
creating a positive impact through empathy and compassion.",
Health Analytics Society,https://one.illinois.edu/HealthAnalyticsSociety/,"Orange Student Organization
 
 - Information & Data Sciences, Life & Physical Sciences, Health & Human Sciences","The Health Analytics Society serves to help students at the University of Illinois explore how data is revolutionizing the health and medical space. As one of the fastest-growing domains of big data, health analytics now produces a significant share of the world’s information, making this the best time to learn how to harness it.
We bridge biology, medicine, and data science, giving students from a variety of backgrounds the chance to turn health challenges into insight. Through hands-on workshops, speaker events, and collaborative projects, HAS empowers students to build practical and technical skills, connect across disciplines, and apply data-driven thinking to real-world health challenges.
Whether you’re studying biology, pre-med, statistics, or computer science, HAS offers a space to learn with each other and from each other — combining diverse perspectives to discover new ways to shape the future of healthcare.",
Health and Elder Law Society,https://one.illinois.edu/HealthandElderLawSociety/,"Orange Student Organization
 
 - Law",The Health and Elder Law Society seeks to provide education on health and elder law careers and issues and bolster networking and career opportunities for College of Law students interested in health and elder law careers.,
Health and Kinesiology Graduate Student Association,https://one.illinois.edu/HealthandKinesiologyGraduateStudentAssociation/,"Orange Student Organization
 
 - Identity & Culture, Social & Behavioral Sciences, Health & Human Sciences","Health and Kinesiology Graduate Student Association at the University of Illinois Urbana-Champaign aims to foster a collaborative and supportive environment for graduate students in Health and Kinesiology. We are committed to promoting academic excellence, professional development, and community engagement while advocating for the interests and needs of our graduate students.",
Health of The Homeless,https://one.illinois.edu/HealthofTheHomeless/,"Orange Student Organization
 
 - Advocacy & Activism, Health & Wellness","The purpose of the organization shall be: Health of The Homeless’s mission is to provide
basic mental/physical health and hygiene necessities to those that can not do it
themselves. We also give a helping hand to any student, community member, or group
that needs our support.*","1. Making a difference: Be part of a mission-driven organization that positively impacts the lives of homeless individuals and those in need.
2. Personal growth: Develop new skills, gain experience, and build confidence through volunteering.
3. Networking opportunities: Connect with like-minded individuals, community leaders, and organizations.
4. Community engagement: Be an active participant in local initiatives and events that promote health, wellness, and social responsibility.
5. Leadership opportunities: Take on leadership roles, mentor others, and develop leadership skills.
6. Professional development: Enhance your resume and career prospects through volunteer experience and skills gained.
7. Social connections: Build lasting relationships with fellow volunteers and community members."
Healthcare Book Club,https://one.illinois.edu/HealthcareBookClub/,"Orange Student Organization
 
 - Health & Wellness","The Healthcare Book Club serves to cultivate knowledgeable and compassionate healthcare leaders through a shared love of reading and discussion. By exploring relevant books, we aim to challenge our members to think critically, broaden their perspectives, and make a positive difference in the field of medicine and in the lives of those they serve.",
Healthy Smiles,https://one.illinois.edu/healthysmiles/,"Orange Student Organization
 
 - Health & Wellness",Healthy Smiles UIUC serves to ensure awareness regarding oral health to the younger population of Champaign-Urbana through regular classroom visits and organized events to provide for goody bags filled with oral health supplies.,Make an impact in the lives of little children by spreading awareness of oral health in elementary schools!
Heart of Kindness UIUC,https://one.illinois.edu/heartofkindness/,"Orange Student Organization
 
 - Community Service & Philanthropy, Health & Human Sciences","To promote health equity and well-being of the community through increasing healthcare accessibility in the Urbana Champaign area, specifically focusing on supporting Carle Hospital and OSF Healthcare. Mission achieved through promoting volunteering opportunities and raising funds in various forms. Potential fundraisers include bake sales and performance showcases with other RSOs.","As a member, you’ll gain valuable experience through community engagement and hands-on involvement in professional training and fundraiser planning. We support your academic success with organized study sessions and a strong academic drive. Beyond that, you’ll become part of a fun, supportive network of friends and mentors who are here to help you grow. Members also have the opportunity to apply for an Executive Board (E-board) position to take on leadership roles. Upon graduation, active members are honored with a Heart of Kindness graduation cord and a special gift in recognition of their dedication and service."
