major_minor,course_id,course_code,course_name,description,credits_min,credits_max,prerequisites,corequisites,postrequisites,schedule_link,notes
Civil Engineering,5215,TAM 211,Statics,"Forces, moments, and couples; resultants of force systems; equilibrium analysis and free-body diagrams; analysis of forces acting on members of trusses, frames, etc.; shear-force and bending-moment distributions; Coulomb friction; centroids, center of mass, moment of inertia, polar moment of inertia, and product of inertia; virtual work; hydrostatic pressure; applications of statics in design. Course Information: Credit is not given for both TAM 211 and TAM 210. Prerequisite: PHYS 211; credit or concurrent registration in either MATH 241 OR MATH 257. Class Schedule Information: Students must register for one discussion and one lecture section.",3,3,PHYS211 MATH241 MATH257,MATH241 MATH257, TAM212 TAM251,https://courses.illinois.edu/schedule/terms/TAM/211,
Civil Engineering,7266,MATH 257,Linear Algebra w Computat Appl,"Introductory course incorporating linear algebra concepts with computational tools, with real world applications to science, engineering and data science. Topics include linear equations, matrix operations, vector spaces, linear transformations, eigenvalues, eigenvectors, inner products and norms, orthogonality, linear regression, equilibrium, linear dynamical systems and the singular value decomposition. Course Information: Credit is not given for both MATH 257 and any of MATH 125, MATH 225, MATH 227, MATH 415 or ASRM 406. Prerequisite: MATH 220 or MATH 221; CS 101 or equivalent programming experience. Class Schedule Information: Students must register for a lecture, a lab, and a discussion section.",3,3,MATH221 MATH220 CS101,, CEE201 TAM211,https://courses.illinois.edu/schedule/terms/MATH/257,
Civil Engineering,5216,CEE 202,Engineering Risk & Uncertainty,Identification and modeling of non-deterministic problems in civil engineering design and decision making integrated with the computational tool R. Introductory course on development of stochastic concepts and simulation models with application to design and decision problems in various areas of civil engineering. Course Information: Credit is not given for both CEE 202 and IE 300. Prerequisite: Credit in CS 101 or CS 124; Credit or concurrent registration in MATH 241.,3,3,MATH241 CS101,MATH241,,https://courses.illinois.edu/schedule/terms/CEE/202,
Civil Engineering,5187,PHYS 213,Univ Physics: Thermal Physics,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). PHYS 213 meets only during part of the term; check the meeting dates. Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",2,2,PHYS211 MATH241,MATH241,,https://courses.illinois.edu/schedule/terms/PHYS/213,
Civil Engineering,5190,TAM 212,Introductory Dynamics,Kinematics and dynamics of the three-dimensional motion of particles; kinematics and dynamics of the plane motion of rigid bodies; methods of work energy and impulse momentum; moving reference frames. Course Information: Prerequisite: TAM 210 or TAM 211.,3,3,TAM210 TAM211,, TAM335,https://courses.illinois.edu/schedule/terms/TAM/212,
Civil Engineering,5217,TAM 251,Introductory Solid Mechanics,"Relationship between internal stresses and deformations produced by external forces acting on deformable bodies, and design principles based on mechanics of solids: normal stresses, shear stresses, and deformations produced by tensile, compressive, torsional, and bending loading of members; beam deflections; elastic energy and impact; multi-dimensional stress states; buckling of columns. Course Information: Prerequisite: TAM 210 or TAM 211.",3,3,TAM210 TAM211,, CEE300,https://courses.illinois.edu/schedule/terms/TAM/251,
Civil Engineering,7718,ECON 102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Course Information: Credit is not given for ECON 102 and ACE 100.",3,3,,,,https://courses.illinois.edu/schedule/terms/ECON/102,
Civil Engineering,5219,TAM 335,Introductory Fluid Mechanics,"Fluid statics; continuity, momentum, and energy principles via control volumes; ideal and real fluid flow; introduction to the Navier-Stokes equation; similitude; laminar and turbulent boundary layers; closed-conduit flow, open-channel flow, and turbomachinery. Course Information: Credit is not given for both TAM 335 and either ME 310 or CEE 331. Prerequisite: TAM 212. Class Schedule Information: Labs will not meet until the first full week of class. Students must register for one lab and one lecture section.",4,4,TAM212 PHYS325,,,https://courses.illinois.edu/schedule/terms/TAM/335,
Civil Engineering,7299,CEE 300,Behavior of Materials,"Macroscopic mechanical behavior in terms of phenomena at the nanometer and micrometer levels for the three types of engineering materials (metals, ceramics, and polymers) with emphasis on specific materials used in civil engineering -- steel, rocks, clay, portland cement concrete, asphaltic concrete, and wood. Course Information: Same as TAM 324. Credit is not given for both CEE 300 and either ME 330 or MSE 280. Prerequisite: Completion of Composition I general education requirement; CHEM 104; TAM 251. Class Schedule Information: Students must register for one lab and one lecture section.",4,4,RHET105 CHEM104 TAM251,,,https://courses.illinois.edu/schedule/terms/CEE/300,
Civil Engineering,5186,MATH 285,Intro Differential Equations,"Techniques and applications of ordinary differential equations, including Fourier series and boundary value problems, and an introduction to partial differential equations. Intended for engineering majors and others who require a working knowledge of differential equations. Course Information: Credit is not given for both MATH 285 and any of MATH 284, MATH 286, MATH 441. Prerequisite: MATH 241.",3,3,MATH241 BIOE205,BIOE205,,https://courses.illinois.edu/schedule/terms/MATH/285,
Civil Engineering,5223,CEE 495,Professional Practice,"Series of lectures by outstanding authorities on the practice of civil engineering and its relations to economics, sociology, and other fields of human endeavor. Course Information: 0 undergraduate hours. 0 graduate hours. Approved for S/U grading only.",0,0,,,,https://courses.illinois.edu/schedule/terms/CEE/495,
Computer Engineering,5369,ECE 120,Introduction to Computing," Introduction to digital logic, computer systems, and computer languages. Topics include representation of information, combinational and sequential logic analysis and design, finite state machines, the von Neumann model, basic computer organization, and machine language programming. Laboratory assignments provide hands-on experience with design, simulation, implementation, and programming of digital systems. Course Information: Prerequisite: Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.",4,4,,, ECE220,https://courses.illinois.edu/schedule/terms/ECE/120,
Computer Engineering,5178,ENG 100,Engineering Orientation,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project. Class Schedule Information: First-year students should enroll in the section corresponding to their major.",1,1,,,,https://courses.illinois.edu/schedule/terms/ENG/100,External transfer students takeENG 300.
Computer Engineering,5172,MATH 221,Calculus I,"First course in calculus and analytic geometry for students with some calculus background; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Course Information: Credit is not given for both MATH 221 and either MATH 220 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/ and either one year of high school calculus or a minimum score of 2 on the AB Calculus AP exam. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,, MATH231 CS173 MATH257,https://courses.illinois.edu/schedule/terms/MATH/221,MATH 220may be substituted.MATH 220is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.
Computer Engineering,5175,RHET 105,Writing and Research,"Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement. Course Information: Credit is not given for both RHET 105 and any of these other Comp I courses: RHET 101, RHET 102, CMN 111 or CMN 112. Class Schedule Information: Students whose second language is English should take an English placement test through the Division of English as an International Language, before signing up for rhetoric. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,,,https://courses.illinois.edu/schedule/terms/RHET/105,"RHET 105(or an alternative Composition I sequence) is taken either in the first or second semester of the first year, according to the student's UIN (Spring if UIN is Odd). General Education Elective is taken the other semester. Composition I guidelines can be found atDegree and General Education Requirementsunder Written Communication Requirement."
Computer Engineering,5370,ECE 110,Introduction to Electronics,"Introduction to selected fundamental concepts and principles in electrical engineering. Emphasis on measurement, modeling, and analysis of circuits and electronics while introducing numerous applications. Includes sub-discipline topics of electrical and computer engineering, for example, electromagnetics, control, signal processing, microelectronics, communications, and scientific computing basics. Lab work incorporates sensors and motors into an autonomous moving vehicle, designed and constructed to perform tasks jointly determined by the instructors and students. Class Schedule Information: Students must register for one lab and one lecture section.",3,3,,, ECE210 ECE385,https://courses.illinois.edu/schedule/terms/ECE/110,
Computer Engineering,5371,ECE 220,Computer Systems & Programming,"Advanced use of LC-3 assembly language for I/O and function calling convention. C programming, covering basic programming concepts, functions, arrays, pointers, I/O, recursion, simple data structures, linked lists, dynamic memory management, and basic algorithms. Information hiding and object-oriented design as commonly implemented in modern software and computer systems programming. Course Information: Prerequisite: ECE 120. Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.",4,4,ECE120,, CS173 CS225 ECE385 ECE391,https://courses.illinois.edu/schedule/terms/ECE/220,
Computer Engineering,5179,MATH 231,Calculus II,"Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, PHYS211 MATH241,https://courses.illinois.edu/schedule/terms/MATH/231,
Computer Engineering,5180,PHYS 211,University Physics: Mechanics,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,MATH231, PHYS212 PHYS213,https://courses.illinois.edu/schedule/terms/PHYS/211,
Computer Engineering,5244,CS 173,Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",3,3,CS125 ECE220 MATH220 MATH221 CS124,, CS225,https://courses.illinois.edu/schedule/terms/CS/173,MATH 213may be substituted.
Computer Engineering,7266,MATH 257,Linear Algebra w Computat Appl,"Introductory course incorporating linear algebra concepts with computational tools, with real world applications to science, engineering and data science. Topics include linear equations, matrix operations, vector spaces, linear transformations, eigenvalues, eigenvectors, inner products and norms, orthogonality, linear regression, equilibrium, linear dynamical systems and the singular value decomposition. Course Information: Credit is not given for both MATH 257 and any of MATH 125, MATH 225, MATH 227, MATH 415 or ASRM 406. Prerequisite: MATH 220 or MATH 221; CS 101 or equivalent programming experience. Class Schedule Information: Students must register for a lecture, a lab, and a discussion section.",3,3,MATH221 MATH220 CS101,, ECE313,https://courses.illinois.edu/schedule/terms/MATH/257,MATH 416may be taken instead.
Computer Engineering,5182,MATH 241,Calculus III,"Third course in calculus and analytic geometry including vector analysis: Euclidean space, partial differentiation, multiple integrals, line integrals and surface integrals, the integral theorems of vector calculus. Course Information: Credit is not given for both MATH 241 and MATH 292. Prerequisite: MATH 231. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,, PHYS212 MATH285 PHYS213,https://courses.illinois.edu/schedule/terms/MATH/241,
Computer Engineering,5183,PHYS 212,University Physics: Elec & Mag,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Course Information: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,PHYS211 MATH241,MATH241, ECE210 PHYS214,https://courses.illinois.edu/schedule/terms/PHYS/212,
Computer Engineering,5373,ECE 210,Analog Signal Processing,"Analog signal processing, with an emphasis on underlying concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; differential equation models of linear circuits and systems; Laplace transform; convolution; stability; phasors; frequency response; Fourier series; Fourier transform; active filters; AM radio. Course Information: Credit is not given for both ECE 210 and ECE 211. Prerequisite: ECE 110 and PHYS 212; credit or concurrent registration in MATH 285 or MATH 286. Class Schedule Information: Students must register for one lab and one lecture section.",4,4,ECE110 PHYS212 MATH285 MATH286,MATH285 MATH286,,https://courses.illinois.edu/schedule/terms/ECE/210,
Computer Engineering,5245,CS 225,Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Course Information: Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413. Class Schedule Information: Students must register for one lecture-discussion and one lecture section.",4,4,CS173 MATH213 MATH347 MATH412 MATH413 CS125 ECE220 CS128,, ECE374,https://courses.illinois.edu/schedule/terms/CS/225,
Computer Engineering,5186,MATH 285,Intro Differential Equations,"Techniques and applications of ordinary differential equations, including Fourier series and boundary value problems, and an introduction to partial differential equations. Intended for engineering majors and others who require a working knowledge of differential equations. Course Information: Credit is not given for both MATH 285 and any of MATH 284, MATH 286, MATH 441. Prerequisite: MATH 241.",3,3,MATH241 BIOE205,BIOE205, ECE210,https://courses.illinois.edu/schedule/terms/MATH/285,
Computer Engineering,5187,PHYS 213,Univ Physics: Thermal Physics,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). PHYS 213 meets only during part of the term; check the meeting dates. Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",2,2,PHYS211 MATH241,MATH241,,https://courses.illinois.edu/schedule/terms/PHYS/213,
Computer Engineering,5226,PHYS 214,Univ Physics: Quantum Physics,"Interference and diffraction, photons and matter waves, the Bohr atom, uncertainty principle, and wave mechanics. A calculus-based course for majors in engineering, mathematics, physics, and chemistry. Course Information: Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). PHYS 214 meets only during part of the term; check the meeting dates. Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",2,2,PHYS212,,,https://courses.illinois.edu/schedule/terms/PHYS/214,
Computer Engineering,5375,ECE 313,Probability with Engrg Applic,"Probability theory with applications to engineering problems such as the reliability of circuits and systems to statistical methods for hypothesis testing, decision making under uncertainty, and parameter estimation. Course Information: Same as MATH 362. Credit is not given for both ECE 313 and MATH 461. Prerequisite: MATH 257 or MATH 416.",3,3,MATH257 MATH416,,,https://courses.illinois.edu/schedule/terms/ECE/313,STAT 410may be substituted.
Computer Engineering,5374,ECE 385,Digital Systems Laboratory,"Design, build, and test digital systems using transistor-transistor logic (TTL), SystemVerilog, and field-programmable gate arrays (FPGAs). Topics include combinational and sequential logic, storage elements, input/output and display, timing analysis, design tradeoffs, synchronous and asynchronous design methods, datapath and controller, microprocessor design, software/hardware co-design, and system-on-a-chip. Course Information: Prerequisite: ECE 110 and ECE 220. Class Schedule Information: Students must register for one lab and one lecture section.",3,3,ECE110 ECE220,,,https://courses.illinois.edu/schedule/terms/ECE/385,
Computer Engineering,5376,ECE 391,Computer Systems Engineering,"Concepts and abstractions central to the development of modern computing systems, with an emphasis on the systems software that controls interaction between devices and other hardware and application programs. Input-output semantics; synchronization; interrupts; multitasking; virtualization of abstractions. Term-based projects. Course Information: Credit is not given for both ECE 391 and either CS 341 or CS 241. Prerequisite: ECE 220 or CS 233.",4,4,CS233 ECE220,,,https://courses.illinois.edu/schedule/terms/ECE/391,
Computer Engineering,5377,ECE 374,Intro to Algs & Models of Comp,Course Information: Same as CS 374. See CS 374.,4,4,CS225 MATH286 MATH225 MATH415,MATH286 MATH225 MATH415,,https://courses.illinois.edu/schedule/terms/ECE/374,
Computer Science,5241,CS 100,Computer Science Orientation,Introduction to Computer Science as a field and career for incoming first year and external transfer students in the computer science majors. Overview of the field and specific examples of problem areas and methods of solution.,1,1,,,,https://courses.illinois.edu/schedule/terms/CS/100,"This optional course is highly recommended for freshmen, who may use it to help meet free elective requirements."
Computer Science,7261,CS 124,Intro to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,3,3,,, CS128 CS173 CS357,https://courses.illinois.edu/schedule/terms/CS/124,
Computer Science,5172,MATH 221,Calculus I,"First course in calculus and analytic geometry for students with some calculus background; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Course Information: Credit is not given for both MATH 221 and either MATH 220 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/ and either one year of high school calculus or a minimum score of 2 on the AB Calculus AP exam. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,, CS173 MATH231 CS361 MATH257,https://courses.illinois.edu/schedule/terms/MATH/221,MATH 220may be substituted.MATH 220is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.
Computer Science,5178,ENG 100,Engineering Orientation,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project. Class Schedule Information: First-year students should enroll in the section corresponding to their major.",1,1,,,,https://courses.illinois.edu/schedule/terms/ENG/100,External transfer students takeENG 300.
Computer Science,5175,RHET 105,Writing and Research,"Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement. Course Information: Credit is not given for both RHET 105 and any of these other Comp I courses: RHET 101, RHET 102, CMN 111 or CMN 112. Class Schedule Information: Students whose second language is English should take an English placement test through the Division of English as an International Language, before signing up for rhetoric. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,,,https://courses.illinois.edu/schedule/terms/RHET/105,"RHET 105(or an alternative Composition I sequence) is taken either in the first or second semester of the first year, according to the student's UIN (Spring if UIN is Odd). General Education Elective is taken the other semester. Composition I guidelines can be found atDegree and General Education Requirementsunder Written Communication Requirement."
Computer Science,7262,CS 128,Intro to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Course Information: Prerequisite: CS 124 or CS 125.,3,3,CS124,, CS222 CS225 CS233,https://courses.illinois.edu/schedule/terms/CS/128,
Computer Science,5244,CS 173,Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",3,3,CS125 ECE220 MATH220 MATH221 CS124,, CS225 CS233 CS374,https://courses.illinois.edu/schedule/terms/CS/173,
Computer Science,5179,MATH 231,Calculus II,"Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, MATH241 PHYS211,https://courses.illinois.edu/schedule/terms/MATH/231,
Computer Science,7263,CS 222,Software Design Lab,"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices?including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork. Course Information: Prerequisite: CS 128; credit or concurrent registration in CS 225. Restricted to majors in Computer Science undergraduate curricula only.",1,1,CS128 CS225,CS225,,https://courses.illinois.edu/schedule/terms/CS/222,
Computer Science,5245,CS 225,Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Course Information: Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413. Class Schedule Information: Students must register for one lecture-discussion and one lecture section.",4,4,CS173 MATH213 MATH347 MATH412 MATH413 CS125 ECE220 CS128,, CS222 CS233 CS210 CS341 CS374,https://courses.illinois.edu/schedule/terms/CS/225,
Computer Science,5182,MATH 241,Calculus III,"Third course in calculus and analytic geometry including vector analysis: Euclidean space, partial differentiation, multiple integrals, line integrals and surface integrals, the integral theorems of vector calculus. Course Information: Credit is not given for both MATH 241 and MATH 292. Prerequisite: MATH 231. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,, PHYS212 CS357,https://courses.illinois.edu/schedule/terms/MATH/241,
Computer Science,5180,PHYS 211,University Physics: Mechanics,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,MATH231, PHYS212,https://courses.illinois.edu/schedule/terms/PHYS/211,
Computer Science,5248,CS 233,Computer Architecture,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Course Information: Prerequisite: CS 125 or CS 128; CS 173 or MATH 213; credit or concurrent enrollment in CS 225.",4,4,CS125 CS173 CS225 CS128 MATH213,CS225, CS341 CS421,https://courses.illinois.edu/schedule/terms/CS/233,
Computer Science,5250,CS 361,Prob & Stat for Computer Sci,"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Course Information: Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",3,3,MATH220 MATH221 MATH225 MATH415 MATH416 MATH257 ASRM406,MATH225 MATH415 MATH416 MATH257 ASRM406,,https://courses.illinois.edu/schedule/terms/CS/361,
Computer Science,7266,MATH 257,Linear Algebra w Computat Appl,"Introductory course incorporating linear algebra concepts with computational tools, with real world applications to science, engineering and data science. Topics include linear equations, matrix operations, vector spaces, linear transformations, eigenvalues, eigenvectors, inner products and norms, orthogonality, linear regression, equilibrium, linear dynamical systems and the singular value decomposition. Course Information: Credit is not given for both MATH 257 and any of MATH 125, MATH 225, MATH 227, MATH 415 or ASRM 406. Prerequisite: MATH 220 or MATH 221; CS 101 or equivalent programming experience. Class Schedule Information: Students must register for a lecture, a lab, and a discussion section.",3,3,MATH221 MATH220 CS101,, CS361 CS357 CS421,https://courses.illinois.edu/schedule/terms/MATH/257,MATH 415orMATH 416may be substituted.
Computer Science,5183,PHYS 212,University Physics: Elec & Mag,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Course Information: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,PHYS211 MATH241,MATH241,,https://courses.illinois.edu/schedule/terms/PHYS/212,
Computer Science,5251,CS 210,Ethical & Professional Issues,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Course Information: Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",2,2,CS225,,,https://courses.illinois.edu/schedule/terms/CS/210,CS 211may be substituted. The extra 1 credit hour difference betweenCS 210andCS 211will apply to free electives.
Computer Science,7726,CS 341,System Programming,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Course Information: Credit is not given for both CS 341 and either CS 241 or ECE 391. Prerequisite: CS 225 and CS 233. Class Schedule Information: Students must register for one lecture and one discussion section.",4,4,CS225 CS233,,,https://courses.illinois.edu/schedule/terms/CS/341,
Computer Science,5255,CS 357,Numerical Methods I,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Course Information: Same as MATH 357. Credit is not given for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406.",3,3,CS101 CS105 MATH225 MATH415 MATH241 CS125 MATH416 ASRM406 ECE220 MATH257 CS124,,,https://courses.illinois.edu/schedule/terms/CS/357,
Computer Science,5253,CS 374,Intro to Algs & Models of Comp,"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Course Information: Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.",4,4,CS225 CS173 MATH213,, CS421,https://courses.illinois.edu/schedule/terms/CS/374,
